Word	IPA transcription
призивите	p r i z i v i t e
изречени	i z r e t ʃ e n i
повторени	p o f t o r e n i
роднини	r o d n i n i
автентична	ɐ f t e n t i t ʃ n ɐ
фолкпевицата	f o ɫ k p e v i t s a t ɐ
чаровното	t ʃ ɐ r o v n o t o
отварящо	o t v a rʲ a ʃ t o
деколте	d e k o ɫ t e
Аньо	a ɲ o
Ангелов	a n ɡ e ɫ o f
кръгла	k r ə ɡ ɫ ɐ
Ричард	r i t ʃ ɐ r t
Майерс	m a j e r s
брифинга	b r i f i n ɡ ɐ
най-подходящият	n a j p o t x o dʲ a ʃ t i j ɐ t
процентова	p r o t s e n t o v ɐ
ваканцията	v ɐ k ɐ n t s i j a t ɐ
балнеопроцедури	b ɐ ɫ n e o p r o t s e d u r i
каталозите	k ɐ t ɐ ɫ o z i t e
пазаруване	p ɐ z ɐ r u v a n e
временния	v r e m e n n i j ɐ
вакуум	v a k u u m
километър	k i ɫ o m e t ə r
Мечи	m e t ʃ i
чал	t ʃ a ɫ
алпийски	a ɫ p i j s k i
трасета	t r a s e t ɐ
Бозаджиев	b o z a d ʒ i e f
раздържавяват	r ɐ z d ə r ʒ a vʲ a v ɐ t
потоци	p o t o t s i
разясни	r a ʒ a s n i
професионалните	p r o f e s i o n a ɫ n i t e
разрастваме	r ɐ z r a s t v a m e
холдингът	x o ɫ d i n ɡ ə t
единно	e d i n n o
застрахователна	z ɐ s t r ɐ x o v a t e ɫ n ɐ
недоказаните	n e d o k ɐ z a n i t e
жалба	ʒ a ɫ b ɐ
неправомерно	n e p r ɐ v o m e r n o
описаха	o p i s a x ɐ
Чепинец	t ʃ e p i n e t s
препоръчват	p r e p o r ə t ʃ v ɐ t
представителя	p r e t s t a v i t e l ɐ
МИГ	m i k
попаднаха	p o p a d n a x ɐ
задънена	z ɐ d ə n e n ɐ
потребителят	p o t r e b i t e l ɐ t
изкушаваше	i s k u ʃ a v a ʃ e
обучителния	o b u t ʃ i t e ɫ n i j ɐ
вкарвате	f k a r v a t e
приложи	p r i ɫ o ʒ i
конституционния	k o n s t i t u t s i o n n i j ɐ
пощаден	p o ʃ t a d e n
констатиран	k o n s t a t i r ɐ n
по-късните	p o k ə s n i t e
положат	p o ɫ o ʒ ɐ t
нерегистрираните	n e r e ɡ i s t r i r a n i t e
равнището	r ɐ v n i ʃ t e t o
отложат	o t ɫ o ʒ ɐ t
авиокомпании	ɐ v i o k o m p a n i i
летят	l e tʲ ɐ t
опитваше	o p i t v a ʃ e
обвързани	o b v ə r z a n i
ангажираха	ɐ n ɡ ɐ ʒ i r a x ɐ
воглаве	v o ɡ ɫ a v e
ауто	a u t o
паркинга	p a r k i n ɡ ɐ
новотел	n o v o t e ɫ
модернизиране	m o d e r n i z i r a n e
цигански	t s i ɡ a n s k i
сив	s i f
неиздаването	n e i z d ɐ v a n e t o
погрешна	p o ɡ r e ʃ n ɐ
плод	p ɫ o t
депозитите	d e p o z i t i t e
гарантираме	ɡ ɐ r ɐ n t i r a m e
аптеките	ɐ p t e k i t e
полунощ	p o ɫ u n o ʃ t
приключили	p r i k l u t ʃ i l i
седял	s e dʲ ɐ ɫ
хванала	x v a n a ɫ ɐ
камерата	k ɐ m e r a t ɐ
отишъл	o t i ʃ ə ɫ
библиотеката	b i b l i o t e k a t ɐ
вършиш	v ə r ʃ i ʃ
азиатската	ɐ z i a t s k a t ɐ
Канарските	k ɐ n a r s k i t e
плътна	p ɫ ə t n ɐ
уебсайтовете	u e p s ɐ j t o v e t e
даващи	d a v a ʃ t i
безплатен	b e s p ɫ a t e n
диетата	d i e t a t ɐ
деведесет	d e v e d e s e t
френско-германска	f r e n s k o ɡ e r m a n s k ɐ
ос	o s
възприемана	v ə s p r i e m a n ɐ
играела	i ɡ r a e ɫ ɐ
умиротворяваща	u m i r o t v o rʲ a v a ʃ t ɐ
създавала	s ə z d a v a ɫ ɐ
вземането	v z e m a n e t o
континенталната	k o n t i n e n t a ɫ n a t ɐ
сложност	s ɫ o ʒ n o s t
разтягат	r a s tʲ a ɡ ɐ t
погасят	p o ɡ a ʃ ɐ t
интереса	i n t e r e s ɐ
картинката	k ɐ r t i n k a t ɐ
взела	v z e ɫ ɐ
преработва	p r e r a b o t v ɐ
ишлеме	i ʃ l e m e
групировката	ɡ r u p i r o f k a t ɐ
Прокуратурата	p r o k u r ɐ t u r a t ɐ
готвят	ɡ o t vʲ ɐ t
нефт	n e f t
легализиране	l e ɡ ɐ l i z i r a n e
скандално	s k a n d a ɫ n o
осъществяват	o s ə ʃ t e s t vʲ a v ɐ t
корумпирани	k o r u m p i r a n i
натаманяват	n ɐ t ɐ m a ɲ a v ɐ t
могъщи	m o ɡ ə ʃ t i
дълъг	d ə ɫ ə k
лидерски	l i d e r s k i
идеологическа	i d e o ɫ o ɡ i t ʃ e s k ɐ
по-близо	p o b l i z o
загърбва	z a ɡ ə r b v ɐ
по-далечното	p o d ɐ l e t ʃ n o t o
бунтът	b u n t ə t
потушен	p o t u ʃ e n
жестоко	ʒ e s t o k o
винарските	v i n a r s k i t e
по-лошо	p o ɫ o ʃ o
мажоритарният	m ɐ ʒ o r i t a r n i j ɐ t
Литимпорт	l i t i m p o r t
Лазаров	ɫ a z a r o f
подвъпроси	p o d v ə p r o s i
приобщаване	p r i o p ʃ t a v a n e
базирани	b ɐ z i r a n i
протеинови	p r o t e i n o v i
суроватки	s u r o v a t k i
спортисти	s p o r t i s t i
казеин	k ɐ z e i n
зъбите	z ə b i t e
фасонът	f a s o n ə t
Беровия	b e r o v i j ɐ
индивид	i n d i v i t
коренно	k o r e n n o
открили	o t k r i l i
тръгвате	t r ə ɡ v a t e
петнедесет	p e t n e d e s e t
прекарате	p r e k a r a t e
незабравими	n e z ɐ b r a v i m i
красивата	k r ɐ s i v a t ɐ
пригответе	p r i ɡ o t v e t e
подове	p o d o v e
мраморните	m r ɐ m o r n i t e
бизнессредите	b i z n e s s r e d i t e
омаяни	o m a j a n i
технико-икономически	t e x n i k o i k o n o m i t ʃ e s k i
ски-съоръжения	s k i s ə o r ə ʒ e n i j ɐ
попаднат	p o p a d n ɐ t
риби	r i b i
наддаване	n ɐ d d a v a n e
изселили	i s s e l i l i
изпитат	i s p i t ɐ t
Търговския	t ə r ɡ o f s k i j ɐ
реализиращи	r e ɐ l i z i r a ʃ t i
колективи	k o l e k t i v i
полетът	p o l e t ə t
излитане	i z l i t a n e
австрийската	ɐ f s t r i j s k a t ɐ
прогнозираните	p r o ɡ n o z i r a n i t e
изложителите	i z ɫ o ʒ i t e l i t e
представили	p r e t s t a v i l i
паланка	p a ɫ a n k ɐ
по-симпатичен	p o s i m p a t i t ʃ e n
уточняване	u t o t ʃ ɲ a v a n e
параметрите	p ɐ r ɐ m e t r i t e
спорни	s p o r n i
нерешени	n e r e ʃ e n i
Аз	a s
моето	m o e t o
представя	p r e t s t a vʲ ɐ
посетил	p o s e t i ɫ
аргументите	ɐ r ɡ u m e n t i t e
насочим	n a s o t ʃ i m
подходящият	p o t x o dʲ a ʃ t i j ɐ t
протестират	p r o t e s t i r ɐ t
местоживеене	m e s t o ʒ i v e e n e
излитането	i z l i t a n e t o
престижното	p r e s t i ʒ n o t o
туристическо	t u r i s t i t ʃ e s k o
Дестинации	d e s t i n a t s i i
изложбения	i z ɫ o ʒ b e n i j ɐ
Ърлс	ə r ɫ s
отчетени	o t t ʃ e t e n i
абонаментни	ɐ b o n a m e n t n i
впечатляващи	f p e t ʃ ɐ t l a v a ʃ t i
срещаше	s r e ʃ t a ʃ e
съдиите	s ə d i i t e
потърси	p o t ə r s i
пушенето	p u ʃ e n e t o
страницата	s t r ɐ n i t s a t ɐ
великолепни	v e l i k o l e p n i
разбие	r a z b i e
монополът	m o n o p o ɫ ə t
разпределиха	r ɐ s p r e d e l i x ɐ
малкия	m a ɫ k i j ɐ
създаден	s ə z d a d e n
иновационен	i n o v ɐ t s i o n e n
започналия	z ɐ p o t ʃ n a l i j ɐ
постовете	p o s t o v e t e
палати	p a ɫ a t i
барони	b a r o n i
луксозни	ɫ u k s o z n i
спасението	s p ɐ s e n i e t o
ликвидация	l i k v i d a t s i ɐ
русенски	r u s e n s k i
написаха	n ɐ p i s a x ɐ
нефтената	n e f t e n a t ɐ
Фергана	f e r ɡ a n ɐ
обръщение	o b r ə ʃ t e n i e
метежниците	m e t e ʒ n i t s i t e
узбекистанския	u z b e k i s t a n s k i j ɐ
Андижан	a n d i ʒ ɐ n
жестът	ʒ e s t ə t
отпрати	o t p r a t i
възстановяване	v ə s s t ɐ n o vʲ a v a n e
лозовите	ɫ o z o v i t e
обединявали	o b e d i ɲ a v a l i
записаните	z ɐ p i s a n i t e
социалдемократически	s o t s i ɐ ɫ d e m o k r a t i t ʃ e s k i
пастиране	p ɐ s t i r a n e
излъскване	i z ɫ ə s k v a n e
гранит	ɡ r a n i t
предвидете	p r e d v i d e t e
обвързаха	o b v ə r z a x ɐ
евроатлантическата	e v r o ɐ t ɫ ɐ n t i t ʃ e s k a t ɐ
уредите	u r e d i t e
приятно	p r i j a t n o
комфортно	k o m f o r t n o
прекарване	p r e k a r v a n e
запазите	z ɐ p a z i t e
елитен	e l i t e n
редувате	r e d u v a t e
изнежено	i z n e ʒ e n o
нищонеправене	n i ʃ t o n e p r a v e n e
обмислят	o b m i s l ɐ t
по-изгодни	p o i z ɡ o d n i
извличаните	i z v l i t ʃ a n i t e
определяха	o p r e d e l a x ɐ
осигуряваха	o s i ɡ u rʲ a v a x ɐ
намалено	n ɐ m a l e n o
съдържание	s ə d ə r ʒ a n i e
мазнини	m a z n i n i
минерали	m i n e r a l i
прахта	p r a x t ɐ
замърсяванията	z ɐ m ə r ʃ ɐ v ɐ n i j a t ɐ
пяната	pʲ a n a t ɐ
изсмуква	i s s m u k v ɐ
тумбене	t u m b e n e
центрофуга	t s e n t r o f u ɡ ɐ
черногледство	t ʃ e r n o ɡ l e t s t v o
приватизационните	p r i v ɐ t i z ɐ t s i o n n i t e
олигархична	o l i ɡ a r ʃ i t ʃ n ɐ
върхушка	v ə r x u ʃ k ɐ
яхтсменски	j a x t s m e n s k i
карета	k a r e t ɐ
послушал	p o s ɫ u ʃ ɐ ɫ
сбъркал	z b ə r k ɐ ɫ
обяснението	o bʲ ɐ s n e n i e t o
по-правилни	p o p r a v i ɫ n i
тактики	t a k t i k i
свое	s v o e
Яни	j a n i
Шишманов	ʃ i ʃ m a n o f
тамошният	t ɐ m o ʃ n i j ɐ t
приватизиран	p r i v ɐ t i z i r ɐ n
заработил	z ɐ r a b o t i ɫ
оправдаването	o p r ɐ v d ɐ v a n e t o
произнасянето	p r o i z n ɐ ʃ a n e t o
адвокатите	ɐ d v o k a t i t e
Канадският	k ɐ n a t s k i j ɐ t
адвокат	ɐ d v o k a t
Робърт	r o b ə r t
Амстердам	a m s t e r d ɐ m
компрометира	k o m p r o m e t i r ɐ
трайно	t r a j n o
неофициална	n e o f i t s i a ɫ n ɐ
ощетени	o ʃ t e t e n i
гледате	ɡ l e d a t e
академичните	ɐ k ɐ d e m i t ʃ n i t e
програмно	p r o ɡ r a m n o
изповядваме	i s p o vʲ a d v a m e
аптеката	ɐ p t e k a t ɐ
по-нестандартен	p o n e s t a n d a r t e n
разкрива	r a s k r i v ɐ
краде	k r a d e
Самюъл	s a mʲ u ə ɫ
отговарящ	o d ɡ o v a rʲ ɐ ʃ t
срещат	s r e ʃ t ɐ t
Естествено	e s t e s t v e n o
патова	p a t o v ɐ
аритметика	ɐ r i t m e t i k ɐ
Оптима	o p t i m ɐ
предупредят	p r e d u p r e dʲ ɐ t
клопките	k ɫ o p k i t e
некачествените	n e k ɐ t ʃ e s t v e n i t e
харесван	x a r e s v ɐ n
убитият	u b i t i j ɐ t
навличал	n a v l i t ʃ ɐ ɫ
авиокомпания	ɐ v i o k o m p a n i j ɐ
Хемус	x e m u s
ер	e r
трасето	t r a s e t o
Тирана	t i r a n ɐ
повишава	p o v i ʃ a v ɐ
последица	p o s l e d i t s ɐ
увеличения	u v e l i t ʃ e n i j ɐ
намалило	n ɐ m a l i ɫ o
коефициента	k o e f i t s i e n t ɐ
преподписване	p r e p o t p i s v a n e
отстраняваха	o t s t r ɐ ɲ a v a x ɐ
закононарушения	z ɐ k o n o n ɐ r u ʃ e n i j ɐ
пуч	p u t ʃ
трескава	t r e s k a v ɐ
кипи	k i p i
изследователския	i s s l e d o v ɐ t e ɫ s k i j ɐ
инструментите	i n s t r u m e n t i t e
реализирането	r e ɐ l i z i r a n e t o
крупния	k r u p n i j ɐ
преведем	p r e v e d e m
романа	r o m a n ɐ
провалената	p r o v ɐ l e n a t ɐ
споменал	s p o m e n ɐ ɫ
МТел	m ə t e ɫ
телелинк	t e l e l i n k
неизпълнените	n e i s p ə ɫ n e n i t e
впериха	f p e r i x ɐ
понамаляло	p o n ɐ m a l a ɫ o
призоват	p r i z o v a t
испанското	i s p a n s k o t o
странен	s t r a n e n
факс	f a k s
белгийския	b e ɫ ɡ i j s k i j ɐ
Ги	ɡ i
Верхофстат	v e r x o f s t ɐ t
вечеря	v e t ʃ e rʲ ɐ
дружеско	d r u ʒ e s k o
Хосе	x o s e
Луис	ɫ u i s
Родригес	r o d r i ɡ e s
разработена	r ɐ z r ɐ b o t e n ɐ
потомък	p o t o m ə k
основател	o s n o v a t e ɫ
съобщил	s ə o p ʃ t i ɫ
катастрофата	k ɐ t ɐ s t r o f a t ɐ
Еди	e d i
осезаемото	o s e z ɐ e m o t o
новоприетите	n o v o p r i e t i t e
гъвкавост	ɡ ə f k a v o s t
запитване	z ɐ p i t v a n e
приятен	p r i j a t e n
придружи	p r i d r u ʒ i
предлог	p r e d ɫ o k
Чеченската	t ʃ e t ʃ e n s k a t ɐ
АП	ɐ p ɐ r t a m e n t
парчета	p a r t ʃ e t ɐ
кавъри	k a v ə r i
работнички	r ɐ b o t n i t ʃ k i
елате	e ɫ a t e
Хубава	x u b a v ɐ
горо	ɡ o r o
мобилните	m o b i ɫ n i t e
телефони	t e l e f o n i
живото	ʒ i v o t o
излъчване	i z ɫ ə t ʃ v a n e
Ники	n i k i
корпоративно	k o r p o r a t i v n o
замразена	z ɐ m r a z e n ɐ
стигнете	s t i ɡ n e t e
китния	k i t n i j ɐ
куророт	k u r o r o t
управителното	u p r ɐ v i t e ɫ n o t o
тяло	tʲ a ɫ o
солариум	s o ɫ a r i u m
занижените	z ɐ n i ʒ e n i t e
инфлация	i n f ɫ a t s i ɐ
пилотното	p i ɫ o t n o t o
рекламодатели	r e k ɫ ɐ m o d a t e l i
ударна	u d a r n ɐ
горещия	ɡ o r e ʃ t i j ɐ
презастрахова	p r e z ɐ s t r a x o v ɐ
неумолимото	n e u m o l i m o t o
породиха	p o r o d i x ɐ
родеят	r o d e j ɐ t
налозите	n ɐ ɫ o z i t e
имота	i m o t ɐ
подмяната	p o d mʲ a n a t ɐ
по-сложни	p o s ɫ o ʒ n i
усъвършенствани	u s ə v ə r ʃ e n s t v a n i
новосформираното	n o v o s f o r m i r a n o t o
бездействие	b e z d e j s t v i e
станем	s t a n e m
пълноправни	p ə ɫ n o p r a v n i
танцуващи	t ɐ n t s u v a ʃ t i
абсурдни	a p s u r d n i
парченце	p a r t ʃ e n t s e
неизядената	n e i ʒ ɐ d e n a t ɐ
баница	b a n i t s ɐ
лостовете	ɫ o s t o v e t e
ексцентрично	e k s t s e n t r i t ʃ n o
нововремки	n o v o v r e m k i
вслушат	f s ɫ u ʃ ɐ t
частичната	t ʃ ɐ s t i t ʃ n a t ɐ
съжалява	s ə ʒ a l a v ɐ
хипотетичните	ʃ i p o t e t i t ʃ n i t e
демократичността	d e m o k r ɐ t i t ʃ n o s t̪ ɐ
нестандартното	n e s t ɐ n d a r t n o t o
начинание	n ɐ t ʃ i n a n i e
осъзнава	o s ə z n a v ɐ
по-масова	p o m a s o v ɐ
платежоспособността	p ɫ ɐ t e ʒ o s p o s o b n o s t̪ ɐ
кредитополучателите	k r e d i t o p o ɫ u t ʃ ɐ t e l i t e
произтичаща	p r o i s t i t ʃ a ʃ t ɐ
дирекции	d i r e k t s i i
Генщаба	ɡ e n ʃ t a b ɐ
най-тревожни	n a j t r e v o ʒ n i
притесняват	p r i t e s ɲ a v ɐ t
геополитическата	ɡ e o p o l i t i t ʃ e s k a t ɐ
необратима	n e o b r a t i m ɐ
устройство	u s t r o j s t v o
поевтиняват	p o e f t i ɲ a v ɐ t
реновирането	r e n o v i r a n e t o
картоф	k a r t o f
предпочел	p r e t p o t ʃ e ɫ
дребна	d r e b n ɐ
изчерпаме	i s t ʃ e r p a m e
законовите	z ɐ k o n o v i t e
оспорим	o s p o r i m
закани	z a k a n i
твърдение	t v ə r d e n i e
изплува	i s p ɫ u v ɐ
Премянов	p r e mʲ a n o f
публикувани	p u b l i k u v a n i
официалния	o f i t s i a ɫ n i j ɐ
по-прегледно	p o p r e ɡ l e d n o
обясняване	o bʲ ɐ s ɲ a v a n e
логистична	ɫ o ɡ i s t i t ʃ n ɐ
производителя	p r o i z v o d i t e l ɐ
безопасни	b e z o p a s n i
царедворците	t s ɐ r e d v o r t s i t e
обсаждат	o p s a ʒ d ɐ t
минибуса	m i n i b u s ɐ
заелите	z ɐ e l i t e
челните	t ʃ e ɫ n i t e
управители	u p r ɐ v i t e l i
влиятелно	v l i j a t e ɫ n o
по-силно	p o s i ɫ n o
деликатния	d e l i k a t n i j ɐ
площадки	p ɫ o ʃ t a t k i
недовършени	n e d o v ə r ʃ e n i
възнамеряват	v ə z n ɐ m e rʲ a v ɐ t
падане	p a d a n e
предпочели	p r e t p o t ʃ e l i
акционерно	ɐ k t s i o n e r n o
извинява	i z v i ɲ a v ɐ
аварията	ɐ v ɐ r i a t ɐ
електрическата	e l e k t r i t ʃ e s k a t ɐ
подстанция	p o t s t a n t s i j ɐ
югоизток	j u ɡ o i s t o k
демонстрирано	d e m o n s t r i r a n o
социалдемократът	s o t s i ɐ ɫ d e m o k r a t ə t
комуниста	k o m u n i s t ɐ
вероятната	v e r o j a t n a t ɐ
създавал	s ə z d a v ɐ ɫ
изселниците	i s s e ɫ n i t s i t e
Мадрид	m a d r i t
пръснати	p r ə s n a t i
объркване	o b ə r k v a n e
доказателствата	d o k ɐ z ɐ t e ɫ s t v a t ɐ
телевизионно	t e l e v i z i o n n o
суверенитета	s u v e r e n i t e t ɐ
временното	v r e m e n n o t o
иракско	i r a k s k o
условието	u s ɫ o v i e t o
регистрирания	r e ɡ i s t r i r a n i j ɐ
безмитният	b e z m i t n i j ɐ t
отприщи	o t p r i ʃ t i
придобило	p r i d o b i ɫ o
таралежови	t ɐ r ɐ l e ʒ o v i
нерегламентираните	n e r e ɡ ɫ ɐ m e n t i r a n i t e
неясен	n e j a s e n
Данов	d a n o f
Денински	d e n i n s k i
трийсетина	t r i j s e t i n ɐ
произнася	p r o i z n a ʃ ɐ
незаконосъобразно	n e z ɐ k o n o s ə o b r a z n o
ексвъншният	e k s v ə n ʃ n i j ɐ t
Шоувер	ʃ o u v e r
увериха	u v e r i x ɐ
проверен	p r o v e r e n
фалира	f a l i r ɐ
рекламно-финансови	r e k ɫ a m n o f i n a n s o v i
пресгрупата	p r e z ɡ r u p a t ɐ
Девал	d e v ɐ ɫ
Демир	d e m i r
фракции	f r a k t s i i
осемнадесетте	o s e m n ɐ d e s e t̪ e
киловолта	k i ɫ o v o ɫ t ɐ
трансформира	t r ɐ n s f o r m i r ɐ
нерегламентирано	n e r e ɡ ɫ ɐ m e n t i r a n o
Шарл	ʃ a r ɫ
Гол	ɡ o ɫ
поучавал	p o u t ʃ a v ɐ ɫ
обезпокоени	o b e s p o k o e n i
далече	d a l e t ʃ e
кандидатките	k ɐ n d i d a t k i t e
ленти	l e n t i
произнесени	p r o i z n e s e n i
присъди	p r i s ə d i
наркоразпространители	n ɐ r k o r ɐ s p r o s t r ɐ n i t e l i
потвърдило	p o t v ə r d i ɫ o
наркотрафика	n ɐ r k o t r a f i k ɐ
двегодишно	d v e ɡ o d i ʃ n o
предпазно	p r e t p a z n o
стоплят	s t o p l ɐ t
замръзналите	z ɐ m r ə z n a l i t e
определяше	o p r e d e l a ʃ e
пресслужбата	p r e s s ɫ u ʒ b a t ɐ
московското	m o s k o f s k o t o
автономна	ɐ f t o n o m n ɐ
резервна	r e z e r v n ɐ
бедствие	b e t s t v i e
речниците	r e t ʃ n i t s i t e
гастрольори	ɡ ɐ s t r o l o r i
наопаки	n ɐ o p a k i
предвещават	p r e d v e ʃ t a v ɐ t
влизаха	v l i z a x ɐ
отслабването	o t s ɫ ɐ b v a n e t o
делник	d e ɫ n i k
плътен	p ɫ ə t e n
празнични	p r a z n i t ʃ n i
заместникът	z ɐ m e s t n i k ə t
по-категоричен	p o k ɐ t e ɡ o r i t ʃ e n
кани	k a n i
стигнах	s t i ɡ n ɐ x
заключението	z ɐ k l u t ʃ e n i e t o
мегаполис	m e ɡ a p o l i s
архитектурата	ɐ r ʃ i t e k t u r a t ɐ
съчетаващ	s ə t ʃ e t a v ɐ ʃ t
небе	n e b e
стилове	s t i ɫ o v e
бумът	b u m ə t
разноските	r ɐ z n o s k i t e
длъжника	d ɫ ə ʒ n i k ɐ
Тампа	t a m p ɐ
кървавата	k ə r v a v a t ɐ
трагедия	t r ɐ ɡ e d i j ɐ
Басра	b a s r ɐ
дванайсетина	d v ɐ n ɐ j s e t i n ɐ
благоустройството	b ɫ ɐ ɡ o u s t r o j s t v o t o
допусналите	d o p u s n a l i t e
силния	s i ɫ n i j ɐ
боядисана	b o j ɐ d i s a n ɐ
вдигнати	v d i ɡ n a t i
вежди	v e ʒ d i
съвместимостта	s ə v m e s t i m o s t̪ ɐ
неефективно	n e e f e k t i v n o
Бонка	b o n k ɐ
Симеонова	s i m e o n o v ɐ
Илиева	i l i e v ɐ
Вот	v o t
пенсионер	p e n s i o n e r
циганиите	t s i ɡ ɐ n i i t e
художниците	x u d o ʒ n i t s i t e
неприятностите	n e p r i j ɐ t n o s t i t e
гръмна	ɡ r ə m n ɐ
милиардер	m i l i a r d e r
Лучански	ɫ u t ʃ a n s k i
финансирал	f i n a n s i r ɐ ɫ
фризьори	f r i ʒ o r i
тримесечни	t r i m e s e t ʃ n i
затвърждава	z ɐ t v ə r ʒ d a v ɐ
сравнението	s r ɐ v n e n i e t o
омаловажава	o m ɐ ɫ o v a ʒ a v ɐ
вписва	f p i s v ɐ
сипят	s i pʲ ɐ t
Мечо	m e t ʃ o
Пух	p u x
възгледите	v ə z ɡ l e d i t e
поръчаните	p o r ə t ʃ a n i t e
ощетена	o ʃ t e t e n ɐ
стопирани	s t o p i r a n i
магнитния	m ɐ ɡ n i t n i j ɐ
долния	d o ɫ n i j ɐ
авторските	ɐ f t o r s k i t e
ограничава	o ɡ r ɐ n i t ʃ a v ɐ
отвсякога	o t f ʃ a k o ɡ ɐ
лудите	ɫ u d i t e
безследно	b e s s l e d n o
изпариха	i s p a r i x ɐ
фантоми	f a n t o m i
употребявана	u p o t r e bʲ a v a n ɐ
битието	b i t i e t o
радиожурналист	r ɐ d i o ʒ u r n a l i s t
светски	s v e t s k i
лъв	ɫ ə f
еволюция	e v o l u t s i j ɐ
доуточни	d o u t o t ʃ n i
Социалистически	s o t s i ɐ l i s t i t ʃ e s k i
раздиран	r a z d i r ɐ n
войниците	v o j n i t s i t e
изстрели	i s s t r e l i
целели	t s e l e l i
двигателя	d v i ɡ a t e l ɐ
спрат	s p r a t
монолитна	m o n o l i t n ɐ
поддава	p o d d a v ɐ
цепене	t s e p e n e
акредитирани	ɐ k r e d i t i r a n i
лаборатории	ɫ ɐ b o r ɐ t o r i i
таксата	t a k s a t ɐ
семестъра	s e m e s t ə r ɐ
магистърската	m ɐ ɡ i s t ə r s k a t ɐ
периметъра	p e r i m e t ə r ɐ
оставени	o s t a v e n i
консумират	k o n s u m i r ɐ t
работодателската	r ɐ b o t o d ɐ t e ɫ s k a t ɐ
порочните	p o r o t ʃ n i t e
по-устойчиви	p o u s t o j t ʃ i v i
кратките	k r a t k i t e
плакатите	p ɫ ɐ k a t i t e
диамантите	d i ɐ m a n t i t e
родее	r o d e e
познато	p o z n a t o
актьорско	a k tʲ o r s k o
плевенската	p l e v e n s k a t ɐ
нецивилизованата	n e t s i v i l i z o v a n a t ɐ
отричат	o t r i t ʃ ɐ t
препоръчали	p r e p o r ə t ʃ a l i
тестването	t e s t v a n e t o
медийното	m e d i j n o t o
най-проблемна	n a j p r o b l e m n ɐ
изгони	i z ɡ o n i
блестящи	b l e s tʲ a ʃ t i
физици	f i z i t s i
атомен	a t o m e n
пустинята	p u s t i ɲ a t ɐ
Мексико	m e k s i k o
снимката	s n i m k a t ɐ
попаднала	p o p a d n a ɫ ɐ
висококатегорийни	v i s o k o k ɐ t e ɡ o r i j n i
товара	t o v a r ɐ
Костинброд	k o s t i n b r o t
върнати	v ə r n a t i
изразходват	i z r a s x o d v ɐ t
Рейган	r e j ɡ ɐ n
разбирайки	r ɐ z b i r a j k i
опитвал	o p i t v ɐ ɫ
укрие	u k r i e
заявление	z ɐ j a v l e n i e
Десетилетие	d e s e t i l e t i e
свойство	s v o j s t v o
верижна	v e r i ʒ n ɐ
кадъра	k a d ə r ɐ
тигъра	t i ɡ ə r ɐ
пленарните	p l e n a r n i t e
потребител	p o t r e b i t e l
елитното	e l i t n o t o
използвайте	i s p o ɫ z v a j t e
отрязани	o t rʲ a z a n i
демонстрационното	d e m o n s t r ɐ t s i o n n o t o
посрещнати	p o s r e ʃ t n a t i
Манфред	m a n f r e t
Щолпе	ʃ t o ɫ p e
президентите	p r e z i d e n t i t e
изолиран	i z o l i r ɐ n
военно-политическите	v o e n n o p o l i t i t ʃ e s k i t e
по-скъпа	p o s k ə p ɐ
цвекловата	t s v e k ɫ o v a t ɐ
изпитанието	i s p i t ɐ n i e t o
научава	n ɐ u t ʃ a v ɐ
фантомните	f ɐ n t o m n i t e
Туркменистан	t u r k m e n i s t ɐ n
затворена	z ɐ t v o r e n ɐ
изолирана	i z o l i r a n ɐ
авторитарен	ɐ f t o r i t a r e n
сладката	s ɫ a t k a t ɐ
оставаше	o s t a v a ʃ e
неспечелили	n e s p e t ʃ e l i l i
класифицираните	k ɫ ɐ s i f i t s i r a n i t e
изпълняващите	i s p ə ɫ ɲ ɐ v a ʃ t i t e
манастири	m ɐ n a s t i r i
средновековни	s r e d n o v e k o v n i
църкви	t s ə r k v i
крепости	k r e p o s t i
възрожденски	v ə z r o ʒ d e n s k i
епохи	e p o ʃ i
сувенири	s u v e n i r i
занаятчии	z ɐ n ɐ j a t t ʃ i i
музика	m u z i k ɐ
фолклор	f o ɫ k ɫ o r
посланията	p o s ɫ ɐ n i j a t ɐ
разбрани	r a z b r a n i
бъдете	b ə d e t e
селскостопанска	s e ɫ s k o s t o p a n s k ɐ
символични	s i m v o l i t ʃ n i
мигновената	m i ɡ n o v e n a t ɐ
крили	k r i l i
забавяли	z ɐ b a vʲ a l i
скалистия	s k ɐ l i s t i j ɐ
познаха	p o z n a x ɐ
БСД	b ə s ə d ə
дъщеря	d ə ʃ t e rʲ ɐ
изхвърляне	i s x v ə r l a n e
съдебния	s ə d e b n i j ɐ
прокурорска	p r o k u r o r s k ɐ
полицейска	p o l i t s e j s k ɐ
доставчиците	d o s t ɐ f t ʃ i t s i t e
подробна	p o d r o b n ɐ
обработвани	o b r ɐ b o t v a n i
чистката	t ʃ i s t k a t ɐ
приличащ	p r i l i t ʃ ɐ ʃ t
хранят	x r a ɲ ɐ t
отбележи	o d b e l e ʒ i
спедиторите	s p e d i t o r i t e
Молдова	m o ɫ d o v ɐ
реализирах	r e ɐ l i z i r ɐ x
Вас	v a s
израелското	i z r ɐ e ɫ s k o t o
отказваше	o t k a z v a ʃ e
признае	p r i z n a e
